content_asset_id,canonical_path,title,keyword,intent,buyer,funnel_stage,content_cluster,cta,status,owner,linear_issue,publish_date,last_updated,next_update_due,analytics_metadata,campaign,utm_source,utm_medium,utm_campaign,gsc_clicks_28d,gsc_position,sessions_28d,identified_users_28d,cta_clicks_28d,form_starts_28d,leads,revenue_influenced,notes,visual_plan_status,hero_visual,screenshot_targets,screenshot_refresh_due,image_rights_status
article.best-ai-workflow-automation-platforms-agencies.v20260601,/articles/best-ai-workflow-automation-platforms-for-agencies,Best AI Workflow Automation Platforms for Agencies in 2026,best AI workflow automation platforms for agencies,compare,agency owner,consideration,ai-workflow-platform-comparisons,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-best-ai-workflow-automation-platforms-agencies-v20260601,linkedin,social,article-best-ai-workflow-automation-platforms-agencies-v20260601,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.dify-vs-langflow-vs-flowise-vs-vellum.v20260608,/articles/dify-vs-langflow-vs-flowise-vs-vellum,Dify vs Langflow vs Flowise vs Vellum: Which Should You Use?,Dify vs Langflow vs Flowise vs Vellum,versus,technical operator,decision,ai-agent-builder-comparisons,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-dify-vs-langflow-vs-flowise-vs-vellum-v20260608,linkedin,social,article-dify-vs-langflow-vs-flowise-vs-vellum-v20260608,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.human-approval-ai-workflow.v20260615,/articles/human-approval-ai-workflow,How to Build an AI Workflow With Human Approval Steps,human approval AI workflow,how-to,ops lead,decision,governed-ai-workflow-how-to,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-human-approval-ai-workflow-v20260615,newsletter,email,article-human-approval-ai-workflow-v20260615,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.ai-automation-agency-vs-workflow-consultant.v20260622,/articles/ai-automation-agency-vs-workflow-consultant,AI Automation Agency vs AI Workflow Consultant,AI automation agency vs AI workflow consultant,compare,founder,consideration,service-category-positioning,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-ai-automation-agency-vs-workflow-consultant-v20260622,linkedin,social,article-ai-automation-agency-vs-workflow-consultant-v20260622,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.governed-ai-workflows-notion-slack-hubspot.v20260629,/articles/governed-ai-workflows-notion-slack-hubspot,How to Build Governed AI Workflows Across Notion Slack and HubSpot,governed AI workflows Notion Slack HubSpot,how-to,RevOps lead,decision,cross-tool-governance,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-governed-ai-workflows-notion-slack-hubspot-v20260629,newsletter,email,article-governed-ai-workflows-notion-slack-hubspot-v20260629,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.best-mcp-tools-business-workflow-automation.v20260706,/articles/best-mcp-tools-business-workflow-automation,Best MCP Tools for Business Workflow Automation,best MCP tools business workflow automation,compare,builder,consideration,mcp-business-workflow-automation,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-best-mcp-tools-business-workflow-automation-v20260706,linkedin,social,article-best-mcp-tools-business-workflow-automation-v20260706,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.approvals-audit-trails-ai-agents.v20260713,/articles/approvals-audit-trails-ai-agents,How to Add Approvals and Audit Trails to AI Agents,AI agent approvals audit trails,how-to,operator,decision,agent-governance-patterns,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-approvals-audit-trails-ai-agents-v20260713,newsletter,email,article-approvals-audit-trails-ai-agents-v20260713,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.ai-workflow-governance-checklist-small-business.v20260720,/articles/ai-workflow-governance-checklist-small-business,AI Workflow Governance Checklist for Small Businesses,AI workflow governance checklist small business,checklist,founder,awareness,workflow-governance-checklists,Get Governance Checklist,planned,,CRE-444,,,,"pending",article-ai-workflow-governance-checklist-small-business-v20260720,linkedin,social,article-ai-workflow-governance-checklist-small-business-v20260720,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.no-code-ai-automation-tools-client-onboarding.v20260727,/articles/no-code-ai-automation-tools-client-onboarding,Best No-Code AI Automation Tools for Client Onboarding,best no-code AI automation tools client onboarding,compare,agency owner,consideration,vertical-workflow-templates,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-no-code-ai-automation-tools-client-onboarding-v20260727,linkedin,social,article-no-code-ai-automation-tools-client-onboarding-v20260727,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.ai-operating-system-service-business.v20260803,/articles/ai-operating-system-service-business,What Is an AI Operating System for a Service Business?,AI operating system for service business,definition,service business owner,awareness,ai-operating-system-positioning,Open Implementation Path,planned,,CRE-444,,,,"pending",article-ai-operating-system-service-business-v20260803,newsletter,email,article-ai-operating-system-service-business-v20260803,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.sales-follow-up-ai-agent-governance.v20260810,/articles/sales-follow-up-ai-agent-governance,How to Govern AI Sales Follow-Up Across Gmail CRM and Slack,AI sales follow-up agent governance,how-to,sales lead,decision,vertical-workflow-templates,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-sales-follow-up-ai-agent-governance-v20260810,linkedin,social,article-sales-follow-up-ai-agent-governance-v20260810,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
article.support-escalation-ai-agent-operating-manual.v20260817,/articles/support-escalation-ai-agent-operating-manual,AI Support Escalation Agent Operating Manual,AI support escalation agent operating manual,checklist,support lead,decision,agent-operating-manuals,Request Workflow Teardown,planned,,CRE-444,,,,"pending",article-support-escalation-ai-agent-operating-manual-v20260817,newsletter,email,article-support-escalation-ai-agent-operating-manual-v20260817,,,,,,,,,,planned,original-hero,screenshots-pending,,pending
